Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
Liaoning,2017,Rural,145.6,132,11.3,10.9,96.4,22.3,18.4,0.7,0.6,3.4,7,10.3,4.9,38.5,1.1
Jilin,2017,Rural,159.6,148,11.7,11.6,115.4,19.5,16.7,0.9,0.4,5,4.7,9.8,4.3,36.4,1.1
Heilongjiang,2017,Rural,152.9,140,15.1,15.1,75.6,19.1,14.9,0.8,0.7,5.9,5.5,8.9,4.8,45.2,1.7
Shanghai,2017,Rural,126,115.6,10.1,9.9,86.4,31.1,24.1,1.7,1,13.4,22.3,10,12,44,1.5
Jiangsu,2017,Rural,134.9,123.5,12.1,12,97.8,23.1,17.7,1.1,0.7,8.5,14.2,9.6,11.1,36.2,1.1
Zhejiang,2017,Rural,163.8,148.7,12.8,12.2,94.8,27.2,23.1,1.3,0.5,9,18.6,8.1,9.4,40.2,1.8
Anhui,2017,Rural,165.5,154.1,10.2,9.4,96.3,21.3,17.2,1.2,0.7,10.1,9.3,11.2,8.1,43.3,1.2
Fujian,2017,Rural,156.2,147.1,9.5,7.7,90.6,30.9,26.6,1.1,0.6,13.6,21.3,8,7.1,32.6,2.1
Jiangxi,2017,Rural,167.3,159.9,12,11.4,104.3,21.1,17.4,1.1,0.2,6.7,8.4,5.8,6.6,28,0.9
Shandong,2017,Rural,136.6,127.6,7.5,7.4,82.7,16.4,11.3,0.3,0.7,5.1,6.5,16.3,11.7,56.9,1
Henan,2017,Rural,128.3,120.7,7.5,7.5,72.6,12.7,9.2,0.7,0.6,4.2,2.5,13,6.1,49.2,1.2
Hubei,2017,Rural,136.9,127.4,14.1,13.5,113,23.5,20.3,0.9,0.4,4,11.1,7.3,3.7,28.7,0.9
Hunan,2017,Rural,187,178.9,11.6,8.3,103.2,28.8,26.3,1,0.5,10.9,8.9,7.9,2.8,44.4,1.3
Guangdong,2017,Rural,166.6,158.5,9.8,9.1,100.7,36.3,31,1.1,0.4,23.5,19.2,6.8,3.3,28.6,2.1
Guangxi,2017,Rural,163.3,157.5,8,5.9,78.1,28.4,26.3,0.6,0.4,19.2,7.7,4.9,2.4,31.1,1.1
Hainan,2017,Rural,103.1,100.2,7.8,5.5,75.1,24,21.8,0.9,0.4,17.5,21.2,3.4,1.3,16.3,0.8
Chongqing,2017,Rural,204.4,189.1,13.8,10.8,152.2,36.1,33.6,0.4,0.5,7.9,7.3,9.9,9.5,31.8,3.2
Sichuan,2017,Rural,184.5,172.1,12.4,10.9,126.8,38.9,36.5,0.6,0.4,10.1,6.1,8.9,8.5,32,2.1
Guizhou,2017,Rural,134,123.1,6.6,5.1,81.3,28.4,27.1,0.5,0.3,3.4,1.2,3.2,1.8,23.2,0.9
Yunnan,2017,Rural,141,132.3,6.6,4.7,79.7,30.8,29,0.9,0.4,7.2,2.4,3.9,1.9,18.9,1.3
Xizang,2017,Rural,318,310.7,20,13,17.7,23,5.4,11.3,5.8,0.1,0,2,22.9,2.5,1
Shaanxi,2017,Rural,142.6,133,11,10.8,64.4,10.8,8.6,0.2,0.8,1.7,1,5.7,7.6,32,0.9
