Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, capture","Marine, aquac.",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, capture","Freshwater, aquac.",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
"China, mainland",1989,7611.42,19951.174,33879.58,219000.0,653.4,8081.67,28732.77,204300.0,91.1,96.2,2101.572,242.2,719.8,381.3,139.4,11.903480345027699,73.1,1.1855115026921197,1151.7,1121.7,661.2,503.6,157.6,383.0,105.7,137.5,30.0,5.0,490.5,73.5,417.0,472.8,9.5,7.3,0.9
"China, mainland",1990,7776.9856,20740.9,34575.4816,231600.0,754.6,8875.369999999999,30371.1808,223670.0,107.8,106.8,2235.48,270.4,794.6,415.7,142.9,12.033301146881769,73.6,1.2089238610452897,1237.0,1209.5,713.3,550.9,162.4,423.2,107.1,147.3,27.5,8.2,523.7,78.3,445.4,504.9,9.4,7.6,1.8
"China, mainland",1991,8119.4,21002.1,36240.8,255300.0,873.0,9731.0608,31910.1888,262600.0,131.45,118.0,2452.3,328.0,924.0,464.7,150.6,12.126118870822387,76.9,1.2490479817212492,1350.8,1310.8,800.1,609.6,190.5,466.2,119.4,158.6,40.0,15.9,550.7,91.5,459.2,530.4,10.7,8.5,1.1
"China, mainland",1992,8258.7,20621.0,36964.6,274000.0,998.4,10308.37,33762.8992,292000.0,154.945,125.0,2635.3,378.0,1019.9,503.1,155.2,12.126068427889182,78.1,1.2945205479452055,1557.1,1500.3,933.7,691.3,242.4,517.6,127.4,204.4,56.8,27.5,623.4,90.1,533.4,598.4,12.4,10.5,2.2
"China, mainland",1993,8564.0,20732.9,38421.1,303000.0,1227.6,11103.0,35176.1408,377800.0,195.5,137.3,2854.4,491.0,1179.8,498.6,159.3,12.366027199855894,81.1,1.2996294335627316,1823.0,1753.61,1076.04,767.34,308.7,557.39,138.66,288.59,69.39,22.01,746.96,102.85,644.11,710.59,13.33,16.29,6.75
"China, mainland",1994,9075.7,21731.4,39300.1,336500.0,1586.43,11920.0,37760.9408,417600.0,211.45,148.0,3204.83,560.0,1479.0,528.8,133.3,12.416107382550335,84.9,1.3409961685823757,2143.13,2068.61,1241.5,895.83,345.67,647.37,170.89,323.64,74.52,25.08,901.62,116.59,785.04,859.23,20.29,15.27,6.82
"China, mainland",1995,10040.5,24052.74,41461.54,354068.0,1834.4,14019.0,38957.2192,500000.0,257.05,174.5,3648.37,670.0,1676.7,576.4,140.1,12.447392824024535,93.7,1.34,2517.18,2442.27,1439.13,1026.84,412.3,758.1,184.8,392.71,74.91,28.61,1078.05,137.29,940.76,1020.94,27.05,20.75,9.31
"China, mainland",1996,10876.0,27685.59,44169.19,392360.0,2052.0,13875.0,38751.6,510700.0,297.63,181.0,3158.0,672.6,1965.2,629.4,145.0,13.045045045045045,81.5,1.3170158605835127,3288.09,3195.1800000000007,2012.88,1248.98,763.9,823.52,204.65,852.68,92.91,39.13,1275.22,176.27,1098.95,1177.8,36.28,48.4,12.73
"China, mainland",1997,9068.2,23728.3,36283.6,450600.0,2629.78,15945.5,39911.9616,613000.0,362.93,212.8,3596.3,793.3,1897.13,601.1,138.0,13.34545796619736,90.1,1.294127243066884,3601.78,3503.8,2176.42,1385.38,791.04,964.15,225.71,824.18,97.98,64.4,1425.35,188.64,1236.71,1324.88,47.79,36.38,16.3
"China, mainland",1998,9927.7,25575.7,40034.8,350000.0,2922.715,17279.5,42725.1392,656400.0,401.3,234.6,3883.7,880.4000000000003,2020.2,662.1,137.3,13.576781735582626,90.9,1.3412553321145644,3906.53,3802.41,2356.71,1496.68,860.02,1055.97,258.57,870.09,104.12,67.97,1549.79,228.34,1321.41,1425.21,60.43,45.79,18.32
"China, mainland",1999,10175.4,26903.5,42256.3,385000.0,3060.0,18820.4,44876.1984,729600.0,421.92,251.3,4005.6,927.6,2134.7,717.5939,137.9,13.3525323585046,89.3,1.2713815789473684,4122.41,4002.96,2471.93,1497.64,974.3,1057.91,277.08,959.27,119.45,58.22,1650.49,227.77,1422.72,1517.12,70.7,42.96,19.73
"China, mainland",2000,10439.6,27925.8,43144.2,410000.0,3244.5,19787.2,46676.08,757050.0,462.8,264.98,3965.99,1016.4,2182.0,827.4,142.6,13.391485404706073,85.0,1.3425797503467407,4278.4845,4156.2872,2538.7389,1477.4524,1061.2865,1032.9888,297.0907,1038.6671,122.1973,47.7943,1739.7456,226.3652,1513.3804,1573.05924,88.29966,46.3064,32.0631
"China, mainland",2001,10077.4,27948.2,41633.6,427500.0,3316.815,19774.0,47237.4784,743850.0,470.8,268.21500000000003,4051.7,1003.08,2210.1,1025.5,141.9,13.564023465156266,85.8,1.3484976809840694,4381.334,4256.3843,2571.6967,1440.6144,1131.0823,1014.7398,302.5418,1078.1415,124.9497,51.3239,1809.6373,214.5899,1595.0474,1629.0458,100.7866,52.5858,27.2023
"China, mainland",2002,9540.8,27625.1,41950.5,465600.0,3409.38,20524.0,48377.3152,760100.0,483.3,280.02,4123.1,1028.9,2265.7000000000007,1299.8,141.8,13.643539271097252,85.2,1.35363767925273,4564.5198,4431.1785,2646.3371,1433.4934,1212.8437,1022.2719,310.5385,1119.3231,133.3413,60.7727,1918.1827,225.1626,1692.9875,1710.1870000000001,122.2715,56.6963,28.7526
"China, mainland",2003,9295.4,28240.9,41776.2,451000.0,3646.73,22289.0,51050.5216,799700.0,512.1,304.63,4238.6,1064.8,2333.1,1746.3,140.4,13.667279824128494,83.0,1.3314993122420908,4704.5502,4563.2374,2685.7267,1432.4206,1253.3061,1028.4180000000001,298.20099999999996,1109.61,141.3128,108.1849,2018.8230899999999,246.76339,1771.9956,1795.1519600000001,138.75203,54.0427,30.6887
"China, mainland",2004,9206.2,29307.4,41381.8,480000.0,3796.2,24145.5,51892.7808,798400.0,527.5,328.2050000000001,4341.0,1073.8,2370.6,2260.6,139.0,13.592801971381832,83.7,1.3449398797595191,4901.7671,4751.2455,2767.7907,1451.0858,1316.7049,1017.2677,312.4022,1111.5006,150.5216,176.0986,2133.9764,241.9334,1891.9936,1893.3761,153.2637,53.3412,33.591
"China, mainland",2005,8999.3,30426.0,42123.4,505500.0,3854.8152,25242.2,54023.251,851900.0,533.6,345.0,4555.33,1144.5,2438.1,2753.37,138.4,13.667588403546445,84.3,1.3434675431388658,5107.634432,4953.486532,2838.333132,1453.5484,1384.784732,1051.9754,323.7921,1160.4081,154.1479,147.992332,2269.3013,258.7307,2010.5259,2017.5571,162.9013,53.6336,34.8902
"China, mainland",2006,8741.3,29792.7,43319.1008,507500.0,3942.5,25920.0,55968.282,845000.0,547.9,358.70000000000016,4650.45,1166.6,2424.0,3193.4,139.0,13.838734567901234,83.1,1.3805917159763312,5290.4031,5136.968000000002,2887.6758,1442.0359,1445.5982,1037.3719,340.852,1203.9765,153.4351,152.0128,2402.7273,254.3667,2148.3018,2124.6149,183.3187,56.8961,75.1913
"China, mainland",2007,8193.4,28369.8,41850.4,528000.0,4052.5,26155.0,56508.301,905000.0,582.7,377.33,4287.82,1236.3,2529.2000000000007,3525.2,143.8,14.426687057923912,75.9,1.3660773480662982,4747.5202,4608.6819,2550.888,1243.548,1307.34,891.2794,298.941,1068.1994,138.8383,153.6299,2196.6322,225.5769,1970.9819,1908.4423,202.0538,50.3286,71.0464
"China, mainland",2008,8268.0,28564.7,43989.5008,565500.0,4140.1,26172.3,59186.099,967600.0,582.6,374.8,4620.5,1318.9,2702.2000000000007,3555.8224,140.7,14.320483870351481,78.1,1.3630632492765606,4895.8,4753.4000000000015,2598.4,1257.8,1340.4,864.5,288.6,1072.5,142.4,122.1,2297.4,224.9,2072.6,1998.7,210.1,50.1,38.6
"China, mainland",2009,8249.28,28084.9,46291.3,586100.0,4293.0,26600.0,61440.0,1003000.0,604.5,383.85,4890.76,1371.5800000000004,2742.5,3518.8,140.8,14.43045112781955,79.6,1.3674775672981059,5116.4039,4967.9972,2681.5555,1275.9422,1405.2220000000002,880.8224,303.5863,1120.0207,148.4067,130.9558,2434.8484,218.3236,2216.4514,2109.8558,228.7824,51.7436,43.2002
"China, mainland",2010,8366.67,28452.2,46996.0,598700.0,4411.3,27780.0,66686.4,1041140.0,622.84,398.9,5071.24,1424.2,2762.700000000001,3575.6,141.2,14.359251259899207,76.0,1.3679236221833762,5373.0024,5216.4066,2797.5312,1315.2304,1482.3008,906.3222,310.441,1170.4425,156.5958,142.0939,2575.4712,228.8716,2346.5029999999997,2225.6044,248.0845,53.6707,47.8175
"China, mainland",2011,8288.6,28087.9,46460.0,527650.0,4362.7,26661.5008,66362.099,1071539.6,616.7,393.1,5060.4,1469.6,2811.41,3657.85,141.4,14.744106228258538,76.3,1.3714845442949564,5603.1678,5440.255200000001,2908.0487,1356.7195,1551.3292,1075.1945,321.8471,1212.7704,162.9126,135.2941,2695.1191,223.1633,2471.9295,2343.6207,248.7806,53.7619,48.7182
"China, mainland",2012,8026.06,28235.79,46862.73,551420.0,4429.9,27094.2,69789.49799999999,1142486.0,629.2,401.0,5342.7,1550.8000000000006,2861.2,3743.6,142.0,14.800215544286232,76.6,1.3573908126664136,5907.6359999999995,5728.594800000002,3033.3437,1389.5332,1643.8105,1101.0306,345.6945,1264.7815,179.0412,142.7718,2874.2923,229.7262,2644.5383,2497.6822,268.6319,53.8067,53.8863
"China, mainland",2013,8018.41,28504.13,47592.2,542700.0,4491.65,27586.8,71556.99799999999,1125740.0,639.55,408.14,5493.03,1570.78,2876.0,3531.42,142.4,14.794756912726376,76.8,1.3953310711176647,6149.4999,5961.0158999999985,3116.3223,1377.0770000000002,1739.2453,1096.8162,362.5694,1327.5593,188.484,140.8934,3055.6806,253.2457,2824.9379,2647.8541,299.5074,52.8028,55.5163
"China, mainland",2014,8050.64,29036.26,47411.26,519580.0,4584.15,28741.6,73510.4,1091840.0,655.24,428.21,5671.39,1505.86,2893.8900000000012,3724.64,142.9,14.898613855874414,77.2,1.3791947538100822,6461.5174,6258.6299,3270.1323,1457.4842,1812.6481,1176.4039,382.9462,1371.7118,202.8875,136.1829,3165.3004,229.5413,2935.7591,2770.3107,288.7397,51.4497,54.8003
"China, mainland",2015,8212.08,30314.92,46582.74,528515.3,4657.4,29472.7,72415.6,1138784.6,665.59,440.83,5645.4,1483.5,3495.9829999999997,3179.8,142.9,14.957231607555466,78.0,1.3027046554721586,6699.6488,6488.1524,3409.6088,1533.9811,1875.6277,1255.335,386.2835,1413.9786,211.4964,142.5153,3290.04,227.7665,3062.2735,2883.3043,300.1607,51.6309,54.9441
"China, mainland",2016,8437.47,31099.69,45112.5,568430.6,4752.3,30694.6,70073.9,1175150.0,680.9,459.36,5425.5,1576.5748,3710.5,3064.0,143.3,14.96549881738156,77.4,1.34159451984853,6881.509,6662.19,3470.4038,1507.273,1963.1308,1232.2916,396.0946,1476.88,219.31900000000002,145.8186,3430.8484,251.5861,3199.0055,2986.6531,335.8549,52.5257,55.8147
"China, mainland",2017,8320.96,30112.02,43503.71,559394.4,4800.0,30252.2432,70202.1,1163067.3,689.8,467.52,5451.8,1583.6008000000006,3645.8,3038.6,143.7,15.454060609958338,77.7,1.3615727997855327,6445.3279,6220.5465,3321.7376,1321.0403,2000.6973,1115.7752,370.7149,1481.4194,224.7814,129.0467,3123.5903,218.2973,2905.2929999999997,2702.5521,320.7866,46.6675,53.5841
Beijing,1998,12.5,95.8,254.5,,,,374.8,,2.1,1.2,27.9,,17.9,22.7,,,74.43970117395943,,7.64,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,0.0,7.64,7.6,0.03,0.0,0.0
Tianjin,1998,18.3,56.1,127.2,,,,188.2,,2.3,1.4,13.9,,22.7,11.7,,,73.8575982996812,,21.38,21.38,3.29,2.96,0.32,1.06,1.14,1.05,0.0,0.04,18.09,1.89,16.2,17.63,0.24,0.21,0.0
Hebei,1998,664.5,1924.0,2332.7,,,,2902.6,,58.0,21.8,219.1,,319.0,55.8,,,75.48404878384898,,69.33,69.33,38.49,30.22,8.27,15.61,8.46,11.96,0.0,2.47,30.84,6.61,24.23,29.03,1.47,0.26,0.08
Shanxi,1998,227.0,1019.1,510.6,,,,545.5,,6.9,6.2,42.8,,37.0,30.1,,,78.46012832263978,,2.26,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.04,2.22,2.25,0.0,0.0,0.01
Neimenggu,1998,375.6,3712.9,816.1,,,,791.2,,17.6,27.0,73.3,,21.2,63.8,,,92.64408493427703,,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,2.45,3.75,6.02,0.18,0.0,0.0
Liaoning,1998,209.3,318.1,1039.9,,,,1223.9,,23.4,2.6,112.8,,131.6,18.5,,,92.16439251572841,,312.71,286.2999999999999,281.41,160.61,120.8,85.53,31.25,113.72,26.41,24.5,31.29,2.79,28.5,29.56,1.18,0.0,0.55
Jilin,1998,386.0,324.1,855.0,,,,1166.4,,28.3,2.6,117.2,,73.1,12.4,,,100.480109739369,,14.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,4.97,9.23,13.97,0.01,0.04,0.18
Heilongjiang,1998,456.6,462.8,958.1,,,,1063.1,,25.7,3.0,83.5,,71.2,142.1,,,78.54388110243627,,35.7,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,7.31,28.39,35.18,0.52,0.0,0.0
Shanghai,1998,6.2,56.5,242.8,,,,460.0,,0.1,0.7,25.3,,13.4,24.6,,,55.0,,26.82,26.82,12.21,12.08,0.13,6.83,2.33,2.72,0.0,0.33,14.61,0.61,14.0,13.37,1.09,0.06,0.09
Jiangsu,1998,70.8,904.9,1961.9,,,,2531.2,,5.7,13.8,190.8,,157.1,12.1,,,75.37926675094818,,282.03,281.13,88.21,70.78,17.43,45.81,12.15,26.51,0.9,2.84,193.82,31.57,162.26,163.21,20.28,9.59,0.74
Zhejiang,1998,43.5,207.6,1040.6,,,,1271.8,,0.9,2.2,81.4,,31.7,8.0,,,64.00377417832993,,422.73,420.73,372.8,326.31,46.49,226.95,81.67,61.51,2.0,0.67,49.93,7.31,42.62,42.46,1.67,4.1,1.69
Anhui,1998,627.0,671.1,1809.1,,,,2239.6,,34.3,11.5,183.7,,94.7,3.0,,,82.02357563850687,,146.2,146.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.2,25.57,120.63,125.72,10.88,6.93,2.67
Fujian,1998,117.1,91.3,1024.2,,,,1365.1,,2.0,1.1,107.3,,36.7,6.4,,,78.60230019778771,,475.92,445.5,425.52,205.46,220.06,161.75,28.04,197.86,30.42,7.45,50.4,6.74,43.66,44.3,0.92,3.99,1.19
Jiangxi,1998,391.7,72.9,1799.6,,,,2271.1,,6.7,0.8,176.9,,33.7,4.7,,,77.8917705076835,,118.35,118.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.35,28.52,89.82,110.19,2.47,4.42,1.27
Shandong,1998,911.8,2322.0,2485.9,,,,3123.2,,60.1,20.9,266.6,,322.0,27.5,,,85.36116803278689,,650.51,609.34,566.52,332.56,233.96,225.89,48.86,236.93,41.17,13.67,83.99,8.89,75.09,78.96,3.78,0.91,0.33
Henan,1998,1300.6,2553.1,3439.7,,,,3592.9,,76.7,28.0,297.9,,229.3,7.8,,,82.91352389434718,,27.02,27.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,1.66,25.36,26.08,0.54,0.11,0.29
Hubei,1998,439.0,144.1,1843.9,,,,2492.1,,13.2,2.1,202.9,,121.6,4.2,,,81.4172786003772,,218.32,218.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.32,43.9,174.42,204.69,6.92,5.03,1.68
Hunan,1998,489.0,336.6,3492.2,,,,5467.3,,11.7,5.1,365.0,,47.3,0.8,,,66.76055822801017,,116.78,116.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.78,16.68,100.09,111.06,1.48,1.95,2.29
Guangdong,1998,416.3,28.1,1768.7,,,,2425.8,,3.1,0.5,189.3,,29.6,7.0,,,78.03611179816967,,554.28,552.47,346.2,195.45,150.75,164.71,26.55,143.23,1.81,9.91,208.07,11.99,196.08,193.6,4.72,5.73,4.02
Guangxi,1998,748.2,239.2,2085.2,,,,2424.5,,9.5,2.1,194.0,,16.2,1.2,,,80.01649824706125,,217.52,217.52,146.15,88.78,57.36,57.61,14.09,71.24,0.0,3.21,71.37,8.69,62.68,67.88,1.09,2.08,0.32
Hainan,1998,127.2,72.8,256.5,,,,234.7,,1.8,0.8,19.9,,1.4,0.1,,,84.7890924584576,,59.77,58.36000000000001,48.5,44.06,4.45,39.11,3.83,3.26,1.41,0.88,11.26,1.31,9.95,10.46,0.09,0.14,0.57
Chongqing,1998,149.2,129.6,1493.0,,,,1720.1,,3.5,1.5,121.6,,24.5,4.7,,,70.69356432765538,,17.86,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,1.49,16.37,17.6,0.05,0.07,0.14
Sichuan,1998,955.1,1112.2,4793.9,,,,5589.8,,20.0,10.7,390.4,,80.4,26.7,,,69.84149701241546,,42.29,42.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.29,3.44,38.85,41.96,0.09,0.05,0.18
Guizhou,1998,630.2,320.5,1593.2,,,,1073.8,,5.9,3.4,97.6,,5.8,0.6,,,90.89215868876886,,5.02,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.52,4.5,4.95,0.05,0.01,0.01
Yunnan,1998,773.2,801.4,2507.9,,,,1926.0,,10.7,5.1,150.5,,8.7,9.9,,,78.14122533748701,,13.84,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,1.89,11.94,13.07,0.66,0.11,0.01
Xizang,1998,508.6,1671.0,21.3,,,,12.6,,7.8,5.6,0.7,,0.2,15.6,,,55.55555555555555,,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0
Shaanxi,1998,239.4,692.1,731.6,,,,794.5,,6.5,5.1,64.9,,39.9,28.2,,,81.68659534298301,,5.04,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.17,4.87,5.01,0.02,0.0,0.01
Gansu,1998,330.1,1118.6,567.1,,,,524.0,,6.9,6.8,38.0,,9.5,13.8,,,72.51908396946564,,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.04,1.1,1.15,0.0,0.0,0.0
Qinghai,1998,394.3,1638.9,113.3,,,,107.8,,6.9,6.4,6.8,,1.4,19.9,,,63.07977736549165,,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.06,0.14,0.0,0.0,0.0
Ningxia,1998,52.8,358.9,121.1,,,,114.2,,2.6,2.4,8.2,,6.5,18.2,,,71.80385288966724,,2.64,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.05,2.59,2.64,0.0,0.0,0.0
Xinjiang,1998,364.3,3447.4,169.8,,,,197.4,,19.2,32.5,13.6,,13.3,60.0,,,68.89564336372847,,5.34,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,1.03,4.31,5.34,0.0,0.0,0.0
